hash,satcomp-mallob,satcomp-prs-distributed,satcomp-solimul-cloud,aresult
00a981f385cd209d41e1efa1f5f29bac,1.911,3.075,4.661,sat
00b46ace235e3915a439c77a231a5657,716.03,104.704,16.258,sat
00bb0b4ef28ed38c49de4c54b9fabc4d,784.35,2000.0,458.603,sat
00f4aca773e5675f35263dcd46b15bde,1.371,2.496,3.354,sat
0191a0bf3412ed407ba669f8d69081ee,4.394,4.87,6.694,sat
028d0cc7af63e9bba5795f20e24db4f6,2.419,2.288,2.741,sat
0336f81b60baac5b8f481dd3c32861a5,2.711,4.787,7.579,sat
037c423f56548082b1935e88c48ffdda,1.228,1.773,2.357,sat
037d21e060a2e3eab8b080aa84ceee75,1.494,2.189,2.778,sat
03de316ba1e90305471a3b8620cb9cd7,1.304,1.682,2.439,sat
090eefb9bc472f6478e70baf2c6d2403,585.673,417.48,2000.0,sat
096ac97e4261eabca440fc7bc135d7c0,13.79,15.194,25.546,sat
0a279c478775cdeede51ad431aebf200,2000.0,2000.0,2000.0,sat
0c9da400944b002f90fd385d4fdab385,2.62,29.371,4.643,sat
10196804504080e7107809a2e5b3bfcc,3.898,3.781,9.25,sat
150b5f8cac40bb4e0fcbdd65c3c04701,2000.0,2000.0,2000.0,sat
15c53f73c62a78c24bf5974e4a7afcd8,182.524,328.0,2000.0,sat
177a4ad8fd76ad8240387998112c3168,8.517,14.796,33.574,sat
18babbd2835b8a37c6299f8b0301c7c9,1.673,3.097,2000.0,sat
1932e1e8f0c78372759909e45a19ecc7,1.93,2.752,2000.0,sat
1a40d2d8c589799a0d267cae03fcd4c5,1.289,9.469,2.35,sat
1b02025658c2a23e1fd3ce0a9c3633cb,2.662,4.542,19.681,sat
1b86f59ce4c43f19f0ad1238f8c362b4,7.86,25.909,33.281,sat
1d1af993697599892804df5878d58979,1.594,3.302,11.576,sat
1eea3d913d346b900252d77fc0cb25c8,3.913,12.077,358.651,sat
1f215812371f0c428eb1f1e51f9f23d7,11.014,2000.0,2000.0,sat
20be6aa61af15fd53b4c48eb3f2f3319,2000.0,35.708,2000.0,sat
220bb8aa093e502c47afcdac3140d67c,1.367,1.914,3.256,sat
24b93d0bf941e4b050c9109e4cb7faf4,1.196,1.656,2.359,sat
24bf910d2b9da558fb3e71a4dbe79ba3,1.294,1.735,2.665,sat
2537f10a45d7ab430334dc1de6bfbdf0,14.615,14.747,27.726,sat
25b7a69d04a5029cf4ba2f483b5bec45,21.818,3.748,10.568,sat
2722f39c27dc45a989bb52761ed52e50,526.712,2000.0,2000.0,sat
291c2b4fa2d8b009cd2a8331891ba667,10.305,22.106,29.414,sat
29bab0de14e56e526be9683131005cb2,1.701,3.761,3.352,sat
2b7e863462991fd008f9898eca63ebf4,7.482,17.343,32.703,sat
2c9dc96b7a8b0410e64dd33f7e00a0c1,888.541,724.543,2000.0,sat
2d0c041c0fe72dc32527bfbf34f63e61,1.322,2.15,2.367,sat
323223c497a22051f5a3ef508ccbaa7c,10.387,17.34,29.403,sat
328da7966b09b2f6e99c93c4e877fbff,5.671,2000.0,2.751,sat
339b1cfda231aaca601cd6339c07ca2c,2000.0,406.784,2000.0,sat
33bcf82677b7fdacf18dd48892596a1d,24.251,24.727,659.568,sat
33cfa309d10e1d4fe30f1302807f42ce,9.015,15.55,38.654,sat
358fa8d20aa467c7e9b9bf34f73d1dc9,3.917,9.612,9.443,sat
35b19a3332597c1e5a3668f75ca72971,12.207,17.134,36.599,sat
36c342091848d5d6a1a8eeb3a8b49b86,1.164,1.66,2.635,sat
3728fe50d8038c639c2d9c84e04fe2b1,2.489,3.336,3.368,sat
38833d6a1ff6a56ef22bd2dc1e3fdde7,7.121,10.334,5.742,sat
396245861b331d45e1345bd43fe352e2,6.798,3.439,13.377,sat
3a7a64e1d6cf5ce969b2b05b5464f707,10.046,21.999,15.483,sat
3cff6c97a515aecfe46ba0f1256a3c11,3.65,3.103,4.55,sat
3e7dc7350195104b76b7d03ab5b0af8f,16.775,30.426,31.374,sat
3f341c57c37d86350af5233b8e15e52e,13.394,128.319,2000.0,sat
41c39c9a2d75ca50b603ea7c3d86106a,1.773,3.201,10.595,sat
428da12ab8f5f68ae261e6468c2fef73,77.133,2000.0,4.472,sat
44ad104c3b0c83b4cfc260583dee2397,9.358,20.556,23.624,sat
44b249f51321a2bf38f730534b781bec,1.281,1.909,2.471,sat
4fd2e4e6ecb4fe8d3f9e1fda81633469,1.673,3.163,2000.0,sat
4fe42891b004d7425631a8edb4252d3f,743.543,2000.0,2000.0,sat
578f9377bfbfcc6ea3a18eb630667956,1.209,1.798,2.46,sat
587150fb7b12a6b5dd7e4a9446b9713b,1.297,1.615,2.967,sat
5dc5185101e1d439d14f0a04acfa9bfb,283.618,346.411,2000.0,sat
62c763bdf8d351b15df3a4d62a03eba0,1.83,5.71,16.663,sat
63159b6b10c3d6832bd5944e05d78b11,1.273,11.097,2.448,sat
68649ac2830edad5d0dc7e3d13935132,1.279,63.731,2.451,sat
6d67f76f114db9801952ed155e745e16,793.394,2000.0,2000.0,sat
6e9cae5108bd423666c73aaace197769,2.971,3.191,2000.0,sat
70ce0cff914efdc48f2a8fe86b5c68c6,14.909,3.616,3.67,sat
71758ed7637888d4fd4593ec820677bc,1.269,11.354,2.371,sat
71bca76153c6ee65b72a517fd658a42d,1.311,1.801,2.566,sat
71cf538aa0751d27f144de9c8d82e458,58.86,2000.0,5.345,sat
73063c6257a4ffc29f5bea7028403a64,1.738,3.697,3.68,sat
74931e82fd208ed949fa44bccd80df6b,3.398,45.974,4.583,sat
751402d0738e5622b599c651283cb48a,1.305,17.659,2.653,sat
78d23f235b63b1b7f08eb1b6cfb03f34,283.519,703.905,2000.0,sat
79391ed5a7f19b947cefe7af1178146a,378.951,2000.0,2000.0,sat
7d58f2f0c79cbcad0496ced184ba0680,23.665,286.984,182.116,sat
7dc81d3cb9066f8bc06ceffbca237572,229.109,2000.0,105.553,sat
82fe0a5b2467d6e5299c315da8b16ec5,1.579,2.799,2000.0,sat
