hash,satcomp-mallob,satcomp-prs-distributed,satcomp-solimul-cloud,aresult
004b0f451f7d96f6a572e9e76360f51a,16.632,19.478,15.483,unsat
008e7716c69009090ff6bd0048dc55f8,17.706,43.392,19.35,unsat
00f2eb377986e7decbc863931680a3b2,1.191,3.514,2.553,unsat
017ba03ed108f492c9293c7c95e5cae9,109.462,2000.0,190.602,unsat
01966a0fc52b2200a13f5f835275a919,9.501,46.68,15.565,unsat
01bd0865ab694bc71d80b7d285d5777d,26.711,26.882,33.576,unsat
01dd5feb463fa80f73809718f6ff735b,18.782,27.815,22.45,unsat
02066c116dbacc40ec5cca2067db26c0,3.517,5.057,4.679,unsat
0297c2a35f116ffd5382aea5b421e6df,1.606,2.637,2.732,unsat
02c6fe8483e4f4474b7ac9731772535d,26.036,43.697,99.558,unsat
036b541db9d0839b0591d408ff4f77ae,24.32,22.607,41.695,unsat
03a43a7ea55217f53542ed3f029963af,551.143,253.332,556.607,unsat
03e9d1abe418a1727bbf2ead77d69d02,67.858,203.01,85.621,unsat
06b138e8a6da806e88ac7da2919cef30,2000.0,47.48,42.602,unsat
075ca0a158690a55b7254d9aaee2e103,37.659,18.588,26.772,unsat
0811f761eee5e4ef28196fd98884a67b,69.426,195.899,112.569,unsat
08455b2e1e6fda910989f0481a20f1c3,58.04,40.555,60.391,unsat
0a4ed112f2cdc0a524976a15d1821097,213.638,2000.0,2000.0,unsat
0ae0c5a4fb9001d63669a0aa5b592167,2000.0,2000.0,2000.0,unsat
0d3e99a07b6a6b67ac59d706c0af9d68,69.589,171.562,141.648,unsat
0eb98926b26343d31954169dfbde2b24,36.532,24.446,208.594,unsat
0ef0d91d378eab41ba6fb9dfc9b87fc8,106.984,111.466,87.411,unsat
112b0ac22b2a567cd3badfed3a5497fd,7.604,1.106,8.293,unsat
11db226d109e82f93aaa3b2604173ff9,1.172,2000.0,2.686,unsat
14a5ff0d6213dcfe182ec656764bbdfb,17.714,21.26,441.683,unsat
15a2ec07aaca45d454a2fbfc0624e75e,118.767,125.085,234.858,unsat
17039a3ed02ea12653ec5389e56dab50,2000.0,1.691,3.107,unsat
19004c7d629f7e6e83c6e1d7a9a768a9,3.956,6.622,4.663,unsat
19c6a29181bee2f3aa03bfb5c5d693d0,23.279,23.956,33.696,unsat
1a63072b90f88c7fa621b5041f412b79,57.67,19.803,50.404,unsat
1a6a635f5b959e191ec705b2f236568a,2.493,3.947,5.058,unsat
1aa7cd96ab1f7bf58984deccf8362ab4,1.263,2000.0,2.984,unsat
