hash,AMSAT_,BreakID-kissat-low.sh,CaDiCaL_vivinst,Cadical_ESA,Cadical_rel_1.5.3.Scavel,IsaSAT,Kissat_Inc_ESA,Kissat_MAB_Binary,Kissat_MAB_Conflict,Kissat_MAB_Conflict+,Kissat_MAB_DeepWalk+,Kissat_MAB_ESA,Kissat_MAB_Rephases,Kissat_MAB_prop,Kissat_MAB_prop-no_sym,Kissat_MAB_prop_pr-no_sym,MapleCaDiCaL_LBD-990_275,MapleCaDiCaL_LBD-990_500,MapleCaDiCaL_PPD-500_500,MapleCaDiCaL_PPD-950_950,MergeSat-bve_gates,MergeSat-bve_semgates,MergeSat-thread1,MiniSat+XorEngine,PReLearn-kissat-PReLearn-kissat.sh,PReLearn-kissat-PReLearn-tern-kissat.sh,ReEncode-kissat-ReEncode-pair-kissat.sh,SBVA-sbva_cadical,SBVA-sbva_kissat,SeqFROST,SeqFROST-ERE-All,SeqFROST-NoExtend,hKis-psids,hKis-sat_psids,hKis-unsat,hKissatInc-unsat,kissat-3.1.0,kissat-hywalk-exp,kissat-hywalk-exp-gb,kissat-hywalk-gb,kissat_incsp,tabularasat-1.0.0,vresult
00a981f385cd209d41e1efa1f5f29bac,9.48159,7.26599,7.7357,7.66768,10.3904,5.73586,6.67063,3.5857,3.55366,4.72682,4.99964,6.08348,5.02499,6.28587,4.64702,4.62724,9.91591,10.1682,11.438,5.77514,15.6617,8.67502,7.32721,107.762,104.693,307.736,7.71609,6.75744,9.00588,3.94628,3.93951,5.41724,3.3291,4.95554,3.38771,5.0953,3.66601,4.83113,3.72976,3.56513,6.13771,2.42039,sat
00b46ace235e3915a439c77a231a5657,4773.34,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,sat
00bb0b4ef28ed38c49de4c54b9fabc4d,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,sat
00f4aca773e5675f35263dcd46b15bde,62.1947,16.347,378.184,370.669,696.554,925.457,147.037,228.758,199.828,54.0175,15.9731,229.129,54.7804,87.704,71.4933,72.1851,113.624,168.037,4.02324,119.254,154.108,274.168,155.393,82.8267,254.849,469.131,60.1702,54.6429,89.4148,27.2565,27.8748,27.6767,60.9569,238.529,619.266,368.002,340.279,35.7032,5.15419,4.15523,138.006,100.297,sat
0191a0bf3412ed407ba669f8d69081ee,25.1406,20.5446,51.5577,47.683,80.2928,104.422,14.3833,24.4168,8.64111,16.7715,24.2283,30.2858,17.1539,14.0673,13.4261,114.379,57.0517,68.3221,81.5508,56.6362,72.427,16.7248,27.3219,2317.92,123.776,323.854,26.1378,17.7206,15.3863,33.7442,20.8428,13.6726,456.56,188.588,24.6639,291.104,15.4902,26.5869,21.2686,22.2267,15.7984,20.9784,sat
028d0cc7af63e9bba5795f20e24db4f6,17.5165,24.2064,16.4797,5.53115,24.79,14.7181,13.1043,13.7457,20.3403,5.34851,14.0661,8.72155,14.0669,5.17801,5.17618,105.595,18.1303,41.9161,3.52098,3.66741,48.4271,60.9806,27.4762,122.325,102.688,305.547,4.21364,2.06472,5.97053,14.0725,14.0726,1.40326,8.65114,4.9611,9.60906,2.93598,2.74395,18.4651,7.43808,4.34978,13.526,5.5199,sat
0336f81b60baac5b8f481dd3c32861a5,122.271,868.261,10000.0,10000.0,387.163,2302.42,72.5108,110.909,24.0247,102.018,133.888,66.6963,24.2011,33.2823,33.9533,133.54,317.247,311.111,49.4369,4038.49,74.7503,477.276,77.2439,2034.44,773.972,654.552,609.688,138.777,131.975,72.9928,109.699,72.7018,4156.78,137.384,536.273,3173.96,137.765,93.313,438.468,258.771,23.5251,819.722,sat
037c423f56548082b1935e88c48ffdda,0.757852,0.089503,0.490271,0.490062,0.35285,1.6095,0.450787,0.411175,0.374785,0.375352,0.482534,0.48212,0.378462,0.993679,0.999288,3.87673,0.203169,0.240875,0.491563,0.370583,0.69711,0.078941,0.718902,0.228701,0.591159,300.558,0.352932,0.593673,0.636374,0.373496,0.374263,0.376302,0.79902,0.525419,0.311514,0.451102,0.582479,0.756121,0.853164,0.811037,0.310793,0.108658,sat
037d21e060a2e3eab8b080aa84ceee75,2.77166,3.78419,48.4467,11.2554,63.9981,5.07795,4.02034,5.99685,5.73648,3.41922,3.16589,4.30265,3.19874,1.79782,1.67232,103.048,0.708347,3.21724,3.48219,3.57822,2.78446,4.74603,2.64313,3.38828,113.761,301.656,14.6931,63.4206,60.6653,1.09392,1.11166,2.0782,71.4595,10.3022,0.539716,111.737,0.805918,4.12127,1.95154,3.80252,6.20216,1.80562,sat
03de316ba1e90305471a3b8620cb9cd7,0.018335,0.480403,0.011611,0.009172,0.039334,0.00936,0.005577,0.005477,0.006295,0.006279,0.006368,0.006151,0.00633,0.547558,0.217271,0.221855,0.010146,0.009594,0.010437,0.010301,0.02116,0.022359,0.021837,0.078629,41.6183,41.5385,0.113901,0.262856,0.287971,0.018282,0.017003,0.017034,0.005804,0.005856,0.007067,0.006226,0.006408,0.006438,0.005905,0.006475,0.006496,0.180611,sat
