hash,AMSAT_,BreakID-kissat-low.sh,CaDiCaL_vivinst,Cadical_ESA,Cadical_rel_1.5.3.Scavel,IsaSAT,Kissat_Inc_ESA,Kissat_MAB_Binary,Kissat_MAB_Conflict,Kissat_MAB_Conflict+,Kissat_MAB_DeepWalk+,Kissat_MAB_ESA,Kissat_MAB_Rephases,Kissat_MAB_prop,Kissat_MAB_prop-no_sym,Kissat_MAB_prop_pr-no_sym,MapleCaDiCaL_LBD-990_275,MapleCaDiCaL_LBD-990_500,MapleCaDiCaL_PPD-500_500,MapleCaDiCaL_PPD-950_950,MergeSat-bve_gates,MergeSat-bve_semgates,MergeSat-thread1,MiniSat+XorEngine,PReLearn-kissat-PReLearn-kissat.sh,PReLearn-kissat-PReLearn-tern-kissat.sh,ReEncode-kissat-ReEncode-pair-kissat.sh,SBVA-sbva_cadical,SBVA-sbva_kissat,SeqFROST,SeqFROST-ERE-All,SeqFROST-NoExtend,hKis-psids,hKis-sat_psids,hKis-unsat,hKissatInc-unsat,kissat-3.1.0,kissat-hywalk-exp,kissat-hywalk-exp-gb,kissat-hywalk-gb,kissat_incsp,tabularasat-1.0.0,vresult
004b0f451f7d96f6a572e9e76360f51a,250.378,233.16,109.098,162.387,98.0415,30.8188,34.2535,73.8282,78.58,72.7538,190.578,70.6368,73.1858,41.5671,36.3468,36.1264,302.53,314.186,1391.96,755.911,124.684,304.577,394.936,10000.0,120.643,120.073,77.2806,194.557,566.487,60.3213,63.7212,59.347,57.8836,183.546,72.8223,75.0314,78.93,90.3144,127.933,46.3873,33.4638,180.042,unsat
008e7716c69009090ff6bd0048dc55f8,1662.94,231.672,1082.5,334.948,667.884,1709.58,217.684,177.967,159.487,186.896,230.839,208.948,159.403,146.892,164.239,165.34,1123.01,746.675,1191.52,1013.29,10000.0,10000.0,4060.01,10000.0,274.779,479.817,159.768,1067.09,141.375,207.171,221.691,202.225,254.116,235.037,216.209,191.385,139.005,168.609,172.446,159.572,214.006,450.068,unsat
00f2eb377986e7decbc863931680a3b2,18.2769,11.1352,8.38043,8.63936,8.59387,17.3288,5.04577,4.51083,3.93375,4.1084,4.35666,4.12671,4.42203,5.82963,4.75581,109.432,10.0598,10.7874,9.14869,10.7581,10.4311,8.56607,9.85889,104.911,111.705,311.966,12.0602,7.15152,11.4241,4.68295,4.66588,4.66402,3.49542,4.81684,5.29742,3.31533,6.71376,4.87671,4.90843,4.85663,4.61422,12.3779,unsat
01966a0fc52b2200a13f5f835275a919,10000.0,10000.0,10000.0,10000.0,4805.26,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,4909.54,10000.0,10000.0,10000.0,10000.0,10000.0,2226.51,2431.53,2702.77,10000.0,3303.93,4045.23,4040.15,4050.68,10000.0,10000.0,10000.0,10000.0,3711.41,10000.0,10000.0,10000.0,10000.0,2423.68,unsat
01bd0865ab694bc71d80b7d285d5777d,118.548,108.942,63.0952,67.33,75.29,641.199,127.311,81.6189,92.9601,89.5415,84.4108,110.678,84.7838,92.5534,72.4448,73.3177,93.2729,83.8572,92.7984,102.472,72.5902,259.948,76.6905,10000.0,120.34,121.132,118.429,80.0002,121.912,91.8464,91.0984,96.5421,106.016,89.2794,97.0603,81.0841,104.182,84.2787,92.41,88.7453,74.9778,134.677,unsat
01dd5feb463fa80f73809718f6ff735b,484.114,10000.0,991.143,1178.7,1129.31,3631.81,132.765,118.514,120.096,135.864,129.954,122.699,137.023,122.947,150.056,151.181,1346.01,1472.32,1234.82,1256.72,735.264,537.598,594.087,10000.0,1553.8,1600.53,1297.52,539.356,604.209,162.39,172.025,168.968,68.913,172.073,149.339,69.3609,1157.42,129.984,124.548,133.089,129.757,778.203,unsat
02066c116dbacc40ec5cca2067db26c0,31.5077,14.5904,15.3601,25.444,56.6485,708.144,10.6968,11.5199,9.8002,9.03035,9.21629,11.4857,9.0839,10.422,10.3902,112.192,10.9441,11.7442,15.5646,14.6018,24.1581,13.8993,14.5251,10000.0,150.543,318.258,13.0904,10.4023,16.1953,12.9279,12.835,12.8824,8.7053,8.41115,9.00845,7.67531,14.349,14.0024,16.724,11.3194,8.84865,10.9565,unsat
0297c2a35f116ffd5382aea5b421e6df,10.8364,0.020598,16.4669,16.3324,11.4503,16.2262,1.63293,3.26627,2.8595,1.21034,1.50579,3.27839,2.88963,0.534884,2.00895,2.00531,17.6451,9.48643,2.41893,10.2005,4.9394,7.61898,4.91403,0.007222,2.97373,4.35458,4.08877,6.28084,4.42951,2.01295,2.02186,2.00956,49.3309,23.623,19.1267,50.6657,4.13687,3.14379,3.1639,1.13736,1.48856,7.5908,unsat
02c6fe8483e4f4474b7ac9731772535d,1962.7,10000.0,1028.79,1059.03,1099.49,10000.0,1491.15,377.078,396.603,396.351,476.351,397.672,397.124,2226.1,414.121,419.387,4882.95,10000.0,4192.64,4401.97,946.517,924.378,915.58,4646.2,508.293,509.808,423.245,100.638,490.283,10000.0,10000.0,10000.0,1022.03,680.995,325.288,1104.35,324.252,427.058,402.799,392.254,1059.32,362.027,unsat
036b541db9d0839b0591d408ff4f77ae,437.406,212.79,161.706,155.103,171.268,2104.11,199.927,160.23,149.211,150.782,156.314,203.208,150.95,194.514,158.409,158.63,167.325,171.297,180.304,200.488,843.491,665.323,666.346,10000.0,199.764,201.016,256.3,186.499,148.828,128.111,125.349,122.895,135.076,182.688,156.9,107.841,186.043,165.424,153.152,149.382,157.461,87.6492,unsat
03a43a7ea55217f53542ed3f029963af,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,2986.74,2191.31,1715.51,1987.86,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,4610.52,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,3333.21,10000.0,2854.29,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,unsat
