hash,dps-satcomp2023,gimsatul,mallob23-parallel-1,mallob23-parallel-2,nps-satcomp2023,pahkis23,pakisinc23,satcomp-mergesat,satcomp-nopre-prs,satcomp-pkisds,satcomp-pkisds-step,satcomp-pkissat,satcomp-pkissat-str,satcomp-prs,satcomp-solimul-parallel,aresult
00a981f385cd209d41e1efa1f5f29bac,1.503,1.387,1.16,1.674,1.045,1.184,1.183,67.144,1.513,2.543,1.526,1.58,1.586,0.881,3.85,sat
00b46ace235e3915a439c77a231a5657,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,4294.521,4933.81,10000.0,10000.0,10000.0,10000.0,10000.0,2695.507,sat
00bb0b4ef28ed38c49de4c54b9fabc4d,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,216.078,10000.0,sat
00f4aca773e5675f35263dcd46b15bde,6.516,3.016,3.301,5.088,4.841,6.059,1.056,31.102,2.529,2.118,20.127,2.12,4.166,1.583,142.341,sat
0191a0bf3412ed407ba669f8d69081ee,3.585,3.611,7.771,5.323,2.316,8.064,7.066,24.19,3.729,7.148,6.148,5.146,4.192,7.21,19.993,sat
028d0cc7af63e9bba5795f20e24db4f6,0.238,0.179,0.773,0.888,0.288,2.048,1.047,33.205,0.492,1.16,1.159,1.166,1.171,0.335,1.849,sat
0336f81b60baac5b8f481dd3c32861a5,5.869,29.341,7.779,14.089,2.843,79.082,11.075,139.405,9.648,7.132,6.133,3.132,13.193,8.612,44.765,sat
037c423f56548082b1935e88c48ffdda,0.057,0.039,0.671,0.684,0.057,1.031,1.031,0.683,0.136,1.033,1.034,1.035,1.036,0.196,0.847,sat
037d21e060a2e3eab8b080aa84ceee75,0.367,1.232,0.869,0.983,0.324,1.069,1.069,12.227,0.53,1.141,1.142,1.144,1.21,0.446,1.947,sat
03de316ba1e90305471a3b8620cb9cd7,0.051,0.053,0.566,0.583,0.052,1.032,1.033,0.41,0.054,1.043,1.044,1.045,1.049,0.106,0.654,sat
090eefb9bc472f6478e70baf2c6d2403,10000.0,3311.212,2959.504,2965.72,10000.0,3288.943,2030.997,10000.0,2487.646,2524.551,4382.478,10000.0,10000.0,2003.162,10000.0,sat
096ac97e4261eabca440fc7bc135d7c0,19.668,29.001,16.67,38.699,14.725,30.591,19.584,183.665,16.56,17.58,20.555,14.863,21.87,18.254,288.148,sat
0a279c478775cdeede51ad431aebf200,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,1859.637,10000.0,1850.227,10000.0,10000.0,140.979,10000.0,sat
0c9da400944b002f90fd385d4fdab385,33.503,21.122,30.093,36.508,28.542,38.411,38.365,1710.84,30.895,1.834,1.848,1.853,2.418,30.0,1.939,sat
10196804504080e7107809a2e5b3bfcc,5.227,17.74,25.68,4.849,18.072,6.112,9.113,110.728,26.052,61.316,7.293,23.321,38.353,48.581,15.165,sat
150b5f8cac40bb4e0fcbdd65c3c04701,10000.0,10000.0,10000.0,10000.0,1500.033,10000.0,4481.151,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,sat
15c53f73c62a78c24bf5974e4a7afcd8,10000.0,10000.0,10000.0,10000.0,1116.522,10000.0,10000.0,10000.0,10000.0,2007.252,10000.0,10000.0,10000.0,60.888,10000.0,sat
177a4ad8fd76ad8240387998112c3168,17.027,36.258,12.669,26.082,15.334,18.593,26.572,254.17,18.095,21.69,23.582,22.922,16.926,20.692,479.373,sat
18babbd2835b8a37c6299f8b0301c7c9,0.52,1.319,0.862,1.161,0.472,1.224,1.271,99.63,0.823,1.471,1.488,1.554,1.547,0.621,10000.0,sat
1932e1e8f0c78372759909e45a19ecc7,1.153,1.381,3.963,1.772,3.619,1.233,1.218,122.401,44.332,2.319,1.308,1.399,1.392,0.477,10000.0,sat
1a40d2d8c589799a0d267cae03fcd4c5,12.79,4.039,7.164,20.178,24.334,95.055,2000.189,32.735,18.137,1.072,1.073,1.072,1.091,86.437,0.847,sat
1b02025658c2a23e1fd3ce0a9c3633cb,49.978,28.872,53.901,76.73,50.293,190.341,218.341,79.315,273.562,22.647,22.703,5.806,8.809,155.33,11.256,sat
1b86f59ce4c43f19f0ad1238f8c362b4,11.53,4.675,14.068,15.285,5.985,17.599,22.604,223.062,15.192,20.511,19.488,15.696,16.797,10.346,88.819,sat
1d1af993697599892804df5878d58979,0.577,1.031,0.867,1.17,0.618,1.231,1.227,58.274,0.964,1.517,1.516,1.589,1.606,0.653,9.845,sat
1eea3d913d346b900252d77fc0cb25c8,461.171,2448.154,172.389,586.506,27.776,224.055,639.083,10000.0,392.891,358.089,363.092,111.066,115.075,774.066,215.283,sat
1f215812371f0c428eb1f1e51f9f23d7,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,641.586,10000.0,10000.0,10000.0,10000.0,166.541,10000.0,sat
20be6aa61af15fd53b4c48eb3f2f3319,10000.0,10000.0,2057.381,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,91.468,10000.0,sat
220bb8aa093e502c47afcdac3140d67c,0.104,0.451,0.869,0.682,0.104,1.045,4.057,6.893,0.551,1.078,1.078,1.079,1.104,0.26,1.148,sat
