hash,dps-satcomp2023,gimsatul,mallob23-parallel-1,mallob23-parallel-2,nps-satcomp2023,pahkis23,pakisinc23,satcomp-mergesat,satcomp-nopre-prs,satcomp-pkisds,satcomp-pkisds-step,satcomp-pkissat,satcomp-pkissat-str,satcomp-prs,satcomp-solimul-parallel,aresult
004b0f451f7d96f6a572e9e76360f51a,17.337,28.708,21.384,30.013,10.41,20.002,11.101,433.255,46.379,47.957,51.127,49.905,63.984,27.366,430.24,unsat
008e7716c69009090ff6bd0048dc55f8,48.53,51.862,51.8,71.614,48.991,109.097,91.096,211.808,88.954,80.398,87.406,67.391,62.383,73.448,75.988,unsat
00f2eb377986e7decbc863931680a3b2,2.632,1.203,2.87,2.985,0.747,3.04,2.038,8.105,1.676,2.075,2.073,2.076,2.078,1.738,0.655,unsat
017ba03ed108f492c9293c7c95e5cae9,978.016,2772.916,841.585,868.8,1029.465,2104.184,1929.171,10000.0,714.686,1852.231,1792.232,705.13,638.142,22.97,710.713,unsat
01966a0fc52b2200a13f5f835275a919,64.516,167.166,70.015,56.72,66.18,904.11,554.089,3377.513,268.798,476.168,448.161,326.147,362.174,259.121,425.049,unsat
01bd0865ab694bc71d80b7d285d5777d,76.942,23.309,64.42,79.547,59.442,54.144,68.227,997.47,66.145,68.38,64.388,58.214,54.339,55.767,67.6,unsat
01dd5feb463fa80f73809718f6ff735b,93.858,48.71,108.454,107.064,87.136,43.418,30.417,355.615,28.597,35.417,36.429,29.133,27.951,27.73,85.111,unsat
02066c116dbacc40ec5cca2067db26c0,3.576,1.284,4.565,4.853,1.987,4.039,3.038,92.094,2.676,3.059,3.061,3.06,3.067,2.73,4.537,unsat
0297c2a35f116ffd5382aea5b421e6df,1.169,0.755,1.972,2.255,0.86,8.033,3.032,4.438,0.838,1.035,1.034,1.036,1.036,0.898,1.047,unsat
02c6fe8483e4f4474b7ac9731772535d,75.363,611.512,47.705,62.537,64.009,77.719,116.066,730.966,55.678,54.157,54.004,47.332,47.975,25.661,562.445,unsat
036b541db9d0839b0591d408ff4f77ae,22.616,22.71,36.697,42.606,20.997,51.431,35.37,735.617,37.375,46.126,46.094,41.829,43.045,42.955,178.965,unsat
03a43a7ea55217f53542ed3f029963af,800.77,10000.0,1859.764,2299.221,610.387,1700.174,1155.165,10000.0,1878.865,2015.338,3633.489,1778.313,1619.336,1342.617,10000.0,unsat
03e9d1abe418a1727bbf2ead77d69d02,1060.523,10000.0,1129.656,967.709,1045.089,10000.0,10000.0,10000.0,2146.31,10000.0,10000.0,3810.393,3874.493,1997.035,4830.482,unsat
06b138e8a6da806e88ac7da2919cef30,94.463,54.346,116.454,143.708,95.583,72.153,74.182,3195.088,80.782,77.786,75.807,67.777,68.757,78.795,239.905,unsat
075ca0a158690a55b7254d9aaee2e103,110.872,35.217,185.499,187.837,87.364,230.157,291.159,381.02,137.21,63.558,60.553,16.51,17.509,182.527,57.586,unsat
0811f761eee5e4ef28196fd98884a67b,400.764,811.168,440.985,563.734,395.518,878.098,782.093,10000.0,416.729,957.15,969.151,403.096,428.118,6.482,389.716,unsat
08455b2e1e6fda910989f0481a20f1c3,183.154,176.831,249.167,66.253,95.733,70.941,55.972,10000.0,150.279,50.315,49.309,46.487,46.339,43.087,135.354,unsat
0a4ed112f2cdc0a524976a15d1821097,10000.0,10000.0,3490.257,4585.544,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,unsat
0ae0c5a4fb9001d63669a0aa5b592167,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,490.425,10000.0,unsat
0d3e99a07b6a6b67ac59d706c0af9d68,811.842,610.034,708.821,905.879,813.394,608.371,487.362,10000.0,866.085,632.354,646.404,705.303,851.395,802.605,721.92,unsat
0eb98926b26343d31954169dfbde2b24,10000.0,349.993,307.015,225.557,10000.0,10000.0,10000.0,1537.286,121.138,213.978,208.991,64.971,65.957,121.52,292.327,unsat
0ef0d91d378eab41ba6fb9dfc9b87fc8,469.996,701.828,447.122,514.92,416.547,1194.311,731.261,2260.904,321.736,652.232,582.084,381.493,393.37,369.94,1043.663,unsat
112b0ac22b2a567cd3badfed3a5497fd,11.313,47.446,14.086,16.286,7.534,18.037,18.043,144.55,7.081,17.045,14.044,13.046,13.047,0.065,16.254,unsat
11db226d109e82f93aaa3b2604173ff9,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.627,unsat
14a5ff0d6213dcfe182ec656764bbdfb,10000.0,335.892,183.712,137.792,10000.0,505.247,10000.0,1067.227,91.26,163.982,159.971,48.968,51.979,94.116,186.185,unsat
15a2ec07aaca45d454a2fbfc0624e75e,829.009,779.345,770.847,591.448,447.311,363.147,345.447,10000.0,10000.0,137.893,132.42,116.311,111.859,149.676,603.88,unsat
17039a3ed02ea12653ec5389e56dab50,0.136,0.281,0.662,0.67,0.135,1.036,1.035,1.956,0.257,1.049,1.049,1.051,1.058,0.326,0.752,unsat
19004c7d629f7e6e83c6e1d7a9a768a9,3.708,5.13,3.854,4.37,1.644,9.039,5.039,18.404,3.874,5.072,5.075,4.072,4.077,3.636,4.044,unsat
19c6a29181bee2f3aa03bfb5c5d693d0,92.297,118.688,53.999,54.209,132.597,130.064,93.058,2061.807,33.672,88.125,83.115,46.111,65.125,40.91,150.766,unsat
1a63072b90f88c7fa621b5041f412b79,244.86,79.748,304.41,455.423,416.614,703.222,615.236,715.212,538.344,155.682,158.673,34.646,35.644,535.419,119.932,unsat
1a6a635f5b959e191ec705b2f236568a,2.241,1.507,2.515,3.472,0.844,3.081,2.087,57.761,1.999,2.361,2.371,2.352,2.352,2.175,5.139,unsat
1aa7cd96ab1f7bf58984deccf8362ab4,3.784,2.081,4.172,4.472,1.236,4.04,3.04,18.869,2.678,3.075,3.079,3.079,3.082,2.74,0.657,unsat
1ce81dbba1292bf791e194b17aa2a219,297.739,1041.751,263.756,274.694,295.749,230.07,856.11,10000.0,281.994,642.2,298.17,246.162,242.17,299.948,1430.917,unsat
1f6cf91464c6a19022144774b162a3cc,14.136,62.753,16.674,14.689,10.865,146.058,103.059,1075.627,136.242,78.12,79.123,64.12,64.141,50.952,97.818,unsat
20cae5fe475d571da703f89d5da4bb8f,47.701,19.333,47.886,65.722,38.013,37.103,33.121,1183.145,34.724,37.48,37.464,36.453,36.449,36.814,62.883,unsat
211938776d92f11870a687abd11d55a4,0.04,0.04,0.559,0.576,0.041,1.033,1.033,0.295,0.054,1.037,1.037,1.039,1.04,0.102,0.641,unsat
21667cf04beae213adbab0d48408a7e4,10000.0,272.829,251.853,200.879,10000.0,10000.0,10000.0,1331.343,106.33,200.025,198.981,55.961,60.993,105.101,273.819,unsat
21bde0ebb111c637a1ae8789827b0b73,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.647,unsat
22d0a2fdc65d884c2bbde56af9feba4a,10000.0,1779.082,10000.0,10000.0,10000.0,10000.0,2837.3,10000.0,1338.921,2339.309,2729.362,1888.278,1714.309,2050.044,4581.468,unsat
246afd75cb97a21144f368c00252a656,54.819,229.715,65.712,54.607,51.418,525.071,291.055,1614.514,141.459,290.073,286.071,197.064,203.072,0.062,0.645,unsat
26114429758a203d651f4df87c94de4c,3.997,1.48,4.459,4.875,1.984,6.039,5.039,24.657,4.177,4.05,4.05,4.052,4.053,4.035,6.731,unsat
262009b8df6350761c7dfc8761f0af79,2964.515,1315.79,4035.709,3442.094,3129.835,3778.299,3259.268,10000.0,1372.287,2742.348,2608.335,1807.262,1826.32,1108.774,1881.136,unsat
275d36e3f246990dccd094e5e1442ba9,10000.0,10000.0,3792.998,3276.691,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,unsat
27b4fe4cb0b4e2fd8327209ca5ff352c,0.043,0.053,0.57,0.581,0.043,1.03,1.03,0.067,0.136,1.034,1.034,1.036,1.036,0.199,0.641,unsat
28857e681fc6a9077d5a7d0e9c7a19ad,167.501,207.522,158.599,66.772,121.414,69.911,60.834,10000.0,161.423,55.835,58.135,50.083,51.078,46.894,168.375,unsat
28e45a3e488ddac73b6116cc6f3e67e0,5.955,26.855,4.479,6.108,6.015,4.131,4.131,2505.406,23.202,50.371,49.205,48.629,47.081,8.585,39.507,unsat
28f29fe949422ec88892e18073de065c,3.018,0.868,2.774,2.964,1.787,3.034,3.034,37.445,2.152,3.045,3.046,3.047,3.051,2.211,4.752,unsat
29505dfcf090c4cfdfb59268160be81d,678.905,568.434,675.65,260.226,330.046,244.366,279.549,10000.0,584.877,141.306,136.301,125.544,128.46,110.168,521.198,unsat
29e101b66dfddb440e974b9feec5b1aa,12.175,39.625,12.082,17.905,9.525,8.557,8.477,215.361,28.818,29.519,42.352,31.353,28.459,18.283,9.566,unsat
